종목코드,종목명,ESG등급,환경,사회,지배구조,ESG등급_ca,환경_ca,사회_ca,지배구조_ca,연도,종가,거래량
010060,OCI,B+,B,A,B이하,5.0,3.0,6.0,2.0,2015.0,90891.53225806452,73904401.0
010060,OCI,B+,B+,A,B+,5.0,5.0,6.0,5.0,2014.0,153663.26530612246,53796989.0
010060,OCI,A,B+,A,A,6.0,5.0,6.0,6.0,2013.0,165449.39271255062,50441380.0
010060,OCI,A,B+,A,A,6.0,5.0,6.0,6.0,2012.0,207582.66129032258,73005750.0
010060,OCI,A,A,A,A,6.0,6.0,6.0,6.0,2011.0,359276.20967741933,119160358.0
021240,코웨이,A,A,A+,B+,6.0,6.0,7.0,5.0,2021.0,74887.90322580645,61418039.0
021240,코웨이,B+,B,A+,A+,5.0,3.0,7.0,7.0,2018.0,87066.80327868853,47981517.0
021240,코웨이,B+,B,A+,A,5.0,3.0,7.0,6.0,2017.0,97488.0658436214,41274079.0
021240,코웨이,A,B,A+,A,6.0,3.0,7.0,6.0,2016.0,94228.45528455285,46348994.0
021240,코웨이,B+,B,A,A,5.0,3.0,6.0,6.0,2015.0,89029.83870967742,46253300.0
021240,코웨이,B+,B,A,A,5.0,3.0,6.0,6.0,2014.0,80831.42857142857,47412262.0
021240,코웨이,B+,B,A,A,5.0,3.0,6.0,6.0,2013.0,55408.906882591094,45006746.0
021240,코웨이,B+,B,A,A,5.0,3.0,6.0,6.0,2012.0,37266.93548387097,49106425.0
021240,코웨이,A,B+,A,A,6.0,5.0,6.0,6.0,2011.0,37211.895161290326,59719928.0
008060,대덕,A,B+,A,A,6.0,5.0,6.0,6.0,2021.0,7551.572580645161,202665037.0
001120,LX인터내셔널,A,A,A+,A,6.0,6.0,7.0,6.0,2021.0,29039.91935483871,103195886.0
032350,롯데관광개발,B,D,B,B,3.0,0.0,3.0,3.0,2021.0,19013.91129032258,171136622.0
032350,롯데관광개발,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,15339.631147540984,65712258.0
032350,롯데관광개발,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2017.0,7907.888888888889,30058645.0
032350,롯데관광개발,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2016.0,7760.9390243902435,7419069.0
032350,롯데관광개발,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2015.0,9787.233870967742,15949204.0
032350,롯데관광개발,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,8572.918367346938,29469985.0
032350,롯데관광개발,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,9248.451612903225,3157787.0
032350,롯데관광개발,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2011.0,13050.858870967742,4416870.0
009680,모토닉,B,B,B,B+,3.0,3.0,3.0,5.0,2021.0,12008.185483870968,34111057.0
