종목코드,종목명,ESG등급,환경,사회,지배구조,평가년도,ESG등급_ca,환경_ca,사회_ca,지배구조_ca
093050,LF,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
093050,LF,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
093050,LF,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
093050,LF,B이하,B+,B이하,,2011,2.0,5.0,2.0,
105560,KB금융,A+,A+,A+,A+,2021,7.0,7.0,7.0,7.0
105560,KB금융,A+,A+,A,A+,2018,7.0,7.0,6.0,7.0
105560,KB금융,A,A,A,A,2017,6.0,6.0,6.0,6.0
105560,KB금융,A+,A+,A+,A,2016,7.0,7.0,7.0,6.0
105560,KB금융,B+,A,B+,B+,2015,5.0,6.0,5.0,5.0
105560,KB금융,A,A,B+,A,2014,6.0,6.0,5.0,6.0
105560,KB금융,A+,A+,A+,A+,2013,7.0,7.0,7.0,7.0
105560,KB금융,A+,A+,A+,A,2012,7.0,7.0,7.0,6.0
105560,KB금융,A+,A+,A+,A,2011,7.0,7.0,7.0,6.0
005940,NH투자증권,A,A,A+,A,2021,6.0,6.0,7.0,6.0
005940,NH투자증권,B+,B+ 이하,A,B이하,2018,5.0,4.0,6.0,2.0
005940,NH투자증권,B+,A,B이하,B이하,2017,5.0,6.0,2.0,2.0
005940,NH투자증권,B+,A+,B+,B이하,2016,5.0,7.0,5.0,2.0
005940,NH투자증권,B+,A,B+,B이하,2015,5.0,6.0,5.0,2.0
005940,NH투자증권,B+,A,B+,B이하,2014,5.0,6.0,5.0,2.0
005940,NH투자증권,B+,B+,B+,B이하,2013,5.0,5.0,5.0,2.0
005940,NH투자증권,A,A,A,B+,2012,6.0,6.0,6.0,5.0
005940,NH투자증권,B+,A,B+,B이하,2011,5.0,6.0,5.0,2.0
329180,현대중공업,B+,B+,B+,A,2018,5.0,5.0,5.0,6.0
329180,현대중공업,B+,B+,B이하,A,2017,5.0,5.0,2.0,6.0
329180,현대중공업,A,B+,A+,A,2016,6.0,5.0,7.0,6.0
329180,현대중공업,B+,B+,B이하,A,2015,5.0,5.0,2.0,6.0
329180,현대중공업,A,A,B+,A,2014,6.0,6.0,5.0,6.0
329180,현대중공업,A,B+,A,A,2013,6.0,5.0,6.0,6.0
329180,현대중공업,B+,B+,B이하,B+,2012,5.0,5.0,2.0,5.0
329180,현대중공업,B이하,A,B이하,B+,2011,2.0,6.0,2.0,5.0
010060,OCI,A,B+,A+,A,2021,6.0,5.0,7.0,6.0
010060,OCI,A,B+,A+,A,2018,6.0,5.0,7.0,6.0
010060,OCI,A,B+,A+,A,2017,6.0,5.0,7.0,6.0
010060,OCI,B+,B+,A,B+,2016,5.0,5.0,6.0,5.0
010060,OCI,B+,B,A,B이하,2015,5.0,3.0,6.0,2.0
010060,OCI,B+,B+,A,B+,2014,5.0,5.0,6.0,5.0
010060,OCI,A,B+,A,A,2013,6.0,5.0,6.0,6.0
010060,OCI,A,B+,A,A,2012,6.0,5.0,6.0,6.0
010060,OCI,A,A,A,A,2011,6.0,6.0,6.0,6.0
021240,코웨이,A,A,A+,B+,2021,6.0,6.0,7.0,5.0
021240,코웨이,B+,B,A+,A+,2018,5.0,3.0,7.0,7.0
021240,코웨이,B+,B,A+,A,2017,5.0,3.0,7.0,6.0
021240,코웨이,A,B,A+,A,2016,6.0,3.0,7.0,6.0
021240,코웨이,B+,B,A,A,2015,5.0,3.0,6.0,6.0
021240,코웨이,B+,B,A,A,2014,5.0,3.0,6.0,6.0
021240,코웨이,B+,B,A,A,2013,5.0,3.0,6.0,6.0
021240,코웨이,B+,B,A,A,2012,5.0,3.0,6.0,6.0
021240,코웨이,A,B+,A,A,2011,6.0,5.0,6.0,6.0
008060,대덕,A,B+,A,A,2021,6.0,5.0,6.0,6.0
001120,LX인터내셔널,A,A,A+,A,2021,6.0,6.0,7.0,6.0
004940,하나은행,,,,B,2021,,,,3.0
004940,하나은행,,A,,,2018,,6.0,,
004940,하나은행,B+,A,B이하,B이하,2012,5.0,6.0,2.0,2.0
004940,하나은행,B이하,A,B이하,B이하,2011,2.0,6.0,2.0,2.0
