종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
96770,SK이노베이션,"155,500","-8,000",4.89,"71,271,531,000","14,378,395,202,000"
285130,SK케미칼,"90,000",-200,0.22,"4,694,076,600","1,550,816,190,000"
17670,SK텔레콤,"50,500","1,400",2.85,"18,231,711,150","11,051,073,772,000"
660,SK하이닉스,"90,500","-2,400",2.58,"332,455,814,500","65,884,214,032,500"
69260,TKG휴켐스,"21,300",-100,0.47,"1,800,989,750","870,713,924,400"
35250,강원랜드,"23,200",-100,0.43,"8,375,866,100","4,963,419,600,000"
10130,고려아연,"613,000","-5,000",0.81,"14,026,287,000","12,176,115,854,000"
11780,금호석유,"137,000","1,500",1.11,"10,711,792,500","4,016,060,744,000"
73240,금호타이어,"3,080",-25,0.81,"522,003,760","884,761,683,960"
270,기아,"68,200",-800,1.16,"67,353,749,300","27,645,780,265,400"
24110,기업은행,"10,300",-50,0.48,"8,803,310,600","7,666,296,046,100"
251270,넷마블,"45,100",-850,1.85,"7,551,273,250","3,876,502,940,200"
6280,녹십자,"125,000","3,500",2.88,"3,269,957,500","1,460,817,250,000"
5250,녹십자홀딩스,"16,500",100,0.61,"516,624,400","775,965,465,000"
4370,농심,"292,500",500,0.17,"3,395,268,500","1,779,172,785,000"
1680,대상,"21,000",-250,1.18,"811,456,100","727,608,525,000"
47040,대우건설,"4,255",40,0.95,"2,721,805,240","1,768,474,324,690"
42660,대우조선해양,"18,850",600,3.29,"10,399,542,150","2,022,429,110,650"
3090,대웅,"20,000",100,0.5,"313,270,800","1,162,839,600,000"
69620,대웅제약,"150,500","5,500",3.79,"3,979,679,500","1,743,779,537,500"
6650,대한유화,"123,500","2,000",1.65,"4,098,237,500","802,750,000,000"
1440,대한전선,"1,455",0,0.0,"6,277,329,685","1,810,708,228,095"
3490,대한항공,"22,900",-300,1.29,"22,807,777,600","8,432,253,136,900"
192080,더블유게임즈,"47,850",-400,0.83,"1,847,896,450","879,219,920,700"
1230,동국제강,"11,600",-50,0.43,"1,990,041,450","1,107,019,749,200"
26960,동서,"20,100",-50,0.25,"498,407,000","2,003,970,000,000"
6040,동원산업,"235,500","-1,000",0.42,"326,038,500","866,084,455,500"
14820,동원시스템즈,"44,400",300,0.68,"336,425,750","1,287,212,920,800"
150,두산,"83,300",-300,0.36,"14,117,344,700","1,376,435,455,500"
241560,두산밥캣,"30,900",300,0.98,"6,984,901,900","3,097,699,229,400"
34020,두산에너빌리티,"14,100",750,5.62,"164,560,459,000","9,000,143,265,300"
336260,두산퓨얼셀,"26,800",550,2.1,"6,512,708,150","1,755,231,856,800"
32350,롯데관광개발,"10,350",-100,0.96,"2,740,500,250","748,642,937,850"
23530,롯데쇼핑,"91,000","1,000",1.11,"5,565,504,400","2,574,276,705,000"
4000,롯데정밀화학,"58,300","-1,700",2.83,"2,770,452,600","1,504,140,000,000"
4990,롯데지주,"34,350",-950,2.69,"12,214,605,400","3,603,632,290,950"
5300,롯데칠성,"134,500","-3,000",2.18,"1,935,413,500","1,248,009,898,000"
11170,롯데케미칼,"152,000","-8,000",5.0,"27,674,071,000","5,209,863,688,000"
138040,메리츠금융지주,"22,600",-800,3.42,"3,380,772,400","2,883,123,177,200"
8560,메리츠증권,"3,545",-105,2.88,"4,394,047,815","2,267,774,002,555"
60,메리츠화재,"31,000",-250,0.8,"3,547,301,250","3,527,273,000,000"
9900,명신산업,"16,550",-850,4.89,"6,984,292,400","868,380,701,150"
6800,미래에셋증권,"6,170",-160,2.53,"4,619,935,930","3,796,502,237,360"
3850,보령,"10,150",150,1.5,"1,762,275,110","697,203,500,000"
6400,삼성SDI,"593,000","-13,000",2.15,"142,330,103,000","40,777,366,290,000"
28260,삼성물산,"110,000","1,500",1.38,"23,029,935,500","20,557,578,910,000"
207940,삼성바이오로직스,"835,000","-12,000",1.42,"32,420,401,000","59,430,290,000,000"
32830,삼성생명,"66,100",300,0.46,"8,750,057,800","13,220,000,000,000"
18260,삼성에스디에스,"122,000","3,500",2.95,"13,647,887,000","9,440,091,600,000"
28050,삼성엔지니어링,"24,100",500,2.12,"17,075,179,900","4,723,600,000,000"
9150,삼성전기,"116,500",-500,0.43,"29,770,142,000","8,701,815,584,000"
5930,삼성전자,"55,900",100,0.18,"643,174,690,750","333,710,844,545,000"
10140,삼성중공업,"5,170",30,0.58,"10,242,113,390","4,549,600,000,000"
16360,삼성증권,"30,650","-1,250",3.92,"21,302,667,750","2,737,045,000,000"
29780,삼성카드,"30,550",-50,0.16,"1,380,284,150","3,539,489,120,050"
810,삼성화재,"197,000",500,0.25,"9,523,402,500","9,332,842,889,000"
70,삼양홀딩스,"62,900",100,0.16,"513,033,700","538,692,645,900"
4490,세방전지,"38,300","-1,900",4.73,"3,814,107,800","536,200,000,000"
68270,셀트리온,"174,000","2,500",1.46,"43,774,188,000","24,497,784,684,000"
4170,신세계,"227,000","-1,000",0.44,"7,683,540,000","2,234,856,087,000"
31430,신세계인터내셔날,"24,700",-750,2.95,"1,920,208,750","881,790,000,000"
19170,신풍제약,"20,400",-400,1.92,"3,624,089,650","1,080,893,796,000"
55550,신한지주,"36,500",-550,1.48,"40,693,339,050","18,722,095,781,500"
3410,쌍용C&E,"5,630",-60,1.05,"1,636,367,660","2,836,729,519,850"
112610,씨에스윈드,"63,900",200,0.31,"9,530,273,100","2,694,752,651,700"
2790,아모레G,"25,250",200,0.8,"3,732,029,300","2,082,069,045,000"
90430,아모레퍼시픽,"98,600",500,0.51,"13,438,347,800","5,767,386,037,400"
20560,아시아나항공,"11,650",-100,0.85,"2,311,631,750","866,897,050,600"
10780,아이에스동서,"30,150",250,0.84,"1,157,964,650","931,412,070,900"
137310,에스디바이오센서,"28,750",600,2.13,"9,284,714,600","2,969,051,398,750"
5850,에스엘,"29,850",-750,2.45,"4,306,602,800","1,386,488,322,000"
12750,에스원,"59,200","1,500",2.6,"4,420,423,800","2,249,551,337,600"
36570,엔씨소프트,"360,000","-2,500",0.69,"28,408,382,000","7,903,447,920,000"
111770,영원무역,"45,400",250,0.55,"1,612,359,500","2,011,740,647,200"
670,영풍,"620,000","-9,000",1.43,"719,202,000","1,142,064,800,000"
7310,오뚜기,"441,000","-2,500",0.56,"722,019,500","1,619,343,621,000"
271560,오리온,"100,000","1,100",1.11,"4,767,640,100","3,953,613,200,000"
1800,오리온홀딩스,"14,300",-50,0.35,"972,737,150","895,829,534,600"
316140,우리금융지주,"11,950",-50,0.42,"31,664,421,850","8,700,323,560,550"
100,유한양행,"56,100",600,1.08,"8,231,623,500","4,108,285,803,600"
139480,이마트,"85,200","-1,000",1.16,"4,258,777,400","2,375,019,778,800"
20150,일진머티리얼즈,"59,000",-800,1.34,"18,645,611,500","2,720,539,265,000"
271940,일진하이솔루스,"30,550",350,1.16,"887,946,150","1,109,367,954,500"
30000,제일기획,"23,600",-50,0.21,"5,616,434,800","2,714,972,910,000"
185750,종근당,"77,400",-300,0.39,"1,058,223,300","927,874,141,200"
13890,지누스,"32,500",350,1.09,"476,789,800","560,054,007,500"
35720,카카오,"47,950","-1,850",3.71,"169,882,599,650","21,353,173,644,950"
323410,카카오뱅크,"16,800",-600,3.45,"49,836,880,800","8,007,408,141,600"
377300,카카오페이,"35,600","-1,350",3.65,"20,234,563,700","4,723,493,333,200"
381970,케이카,"13,000",100,0.78,"2,838,562,400","625,124,929,000"
192820,코스맥스,"46,150",-450,0.97,"1,248,300,600","523,779,840,350"
120110,코오롱인더,"43,800",-900,2.01,"2,870,982,550","1,205,336,185,800"
21240,코웨이,"54,700","1,500",2.82,"8,044,507,900","4,036,839,159,300"
284740,쿠쿠홈시스,"28,100",-200,0.71,"478,850,050","630,488,973,000"
259960,크래프톤,"175,000","-8,000",4.37,"39,642,365,500","8,587,607,875,000"
39490,키움증권,"73,000","-5,700",7.24,"10,486,113,400","1,914,024,449,000"
3240,태광산업,"705,000","-11,000",1.54,"452,186,000","784,947,000,000"
28670,팬오션,"4,630",0,0.0,"4,532,333,250","2,475,056,840,560"
47050,포스코인터내셔널,"21,450",50,0.23,"7,545,566,350","2,646,396,946,050"
3670,포스코케미칼,"190,500","1,000",0.53,"169,698,694,000","14,756,743,410,000"
103140,풍산,"26,800",-100,0.37,"749,616,200","751,050,650,400"
86790,하나금융지주,"39,400",-100,0.25,"37,673,100,400","11,658,596,954,400"
39130,하나투어,"50,800","-1,200",2.31,"4,228,498,400","814,790,598,000"
352820,하이브,"114,000","-4,500",3.8,"26,984,315,500","4,714,286,118,000"
80,하이트진로,"25,050",0,0.0,"2,986,191,400","1,756,846,955,550"
36460,한국가스공사,"34,250",150,0.44,"9,227,614,200","3,161,720,250,000"
71050,한국금융지주,"47,650","-3,450",6.75,"33,952,851,650","2,655,343,518,800"
240,한국앤컴퍼니,"12,250",-50,0.41,"454,144,300","1,162,956,690,000"
15760,한국전력,"16,750",-300,1.76,"19,136,849,450","10,752,898,289,750"
9540,한국조선해양,"72,900",-100,0.14,"10,805,828,000","5,159,360,156,400"
161890,한국콜마,"33,600",0,0.0,"1,458,836,800","768,807,648,000"
161390,한국타이어앤테크놀로지,"36,000",-350,0.96,"5,747,100,250","4,459,502,484,000"
47810,한국항공우주,"43,650",900,2.11,"33,801,793,200","4,254,788,420,550"
8930,한미사이언스,"30,600",-200,0.65,"1,646,668,850","2,099,884,730,400"
128940,한미약품,"243,000","2,500",1.04,"4,894,318,500","2,993,266,953,000"
9240,한샘,"39,700",-550,1.37,"1,197,405,350","934,296,941,600"
20000,한섬,"25,850",-100,0.39,"1,080,096,150","636,685,500,000"
105630,한세실업,"14,900",-300,1.97,"1,217,806,700","596,000,000,000"
14680,한솔케미칼,"176,500","-4,000",2.22,"3,860,658,000","2,000,661,917,500"
18880,한온시스템,"7,680",40,0.52,"5,790,159,010","4,099,584,000,000"
9420,한올바이오파마,"13,550",0,0.0,"726,410,450","707,860,644,900"
300720,한일시멘트,"11,050",-50,0.45,"581,108,400","765,340,017,000"
51600,한전KPS,"33,400","2,100",6.71,"12,770,239,050","1,503,000,000,000"
52690,한전기술,"54,500","4,200",8.35,"40,355,134,300","2,082,990,000,000"
180640,한진칼,"36,800",100,0.27,"1,903,550,450","2,456,834,092,800"
880,한화,"24,650",-250,1.0,"5,227,863,900","1,847,732,817,750"
88350,한화생명,"2,090",20,0.97,"1,919,627,030","1,815,227,700,000"
9830,한화솔루션,"50,100","-1,900",3.65,"81,006,033,550","9,583,052,699,700"
272210,한화시스템,"11,100",150,1.37,"3,889,169,700","2,097,005,217,900"
12450,한화에어로스페이스,"60,700","1,300",2.19,"87,597,731,800","3,073,241,000,000"
720,현대건설,"36,150",450,1.26,"20,882,888,600","4,025,510,904,750"
5440,현대그린푸드,"6,570",80,1.23,"714,512,760","641,918,446,740"
86280,현대글로비스,"171,500","1,500",0.88,"10,004,456,000","6,431,250,000,000"
42670,현대두산인프라코어,"4,825",45,0.94,"3,349,443,415","954,208,458,075"
64350,현대로템,"24,150",50,0.21,"37,333,619,000","2,635,786,375,950"
12330,현대모비스,"206,500","-1,000",0.48,"26,398,727,500","19,469,871,911,000"
10620,현대미포조선,"97,800",800,0.82,"23,679,692,400","3,906,342,172,200"
69960,현대백화점,"55,500",100,0.18,"1,754,733,000","1,298,835,475,500"
17800,현대엘리베이,"23,400",550,2.41,"2,761,740,150","955,075,469,400"
11210,현대위아,"60,900",-500,0.81,"5,935,372,200","1,656,180,554,700"
4020,현대제철,"31,000",250,0.81,"8,578,669,900","4,136,819,335,000"
329180,현대중공업,"111,000",-500,0.45,"28,799,499,000","9,853,815,876,000"
5380,현대차,"168,000",0,0.0,"92,321,892,000","35,896,255,416,000"
1450,현대해상,"33,000",-100,0.3,"7,857,390,950","2,950,200,000,000"
57050,현대홈쇼핑,"44,850",-150,0.33,"393,960,350","538,200,000,000"
8770,호텔신라,"73,200",-300,0.41,"14,424,123,400","2,872,962,457,200"
241590,화승엔터프라이즈,"10,350",-300,2.82,"1,790,766,850","627,099,006,600"
4800,효성,"73,100",-500,0.68,"1,789,671,800","1,540,291,927,500"
298050,효성첨단소재,"320,000","-6,000",1.84,"3,918,538,000","1,433,583,360,000"
298020,효성티앤씨,"287,000","-3,000",1.03,"2,689,900,500","1,242,044,734,000"
93370,후성,"12,200",-150,1.21,"7,052,023,000","1,129,803,191,800"
81660,휠라홀딩스,"32,600",0,0.0,"4,246,906,300","1,980,522,437,200"
